title;content;tags;Created;Modified
TDD är programmeringens multiplikationstabell;Vissa saker måste man bara kunna för att slippa tänka på dom när man kommer till problemlösningen.;techniques,problems,tdd;2009-11-03 23:22:36;2009-11-04 09:36:43
Organisations can't learn;They can only operate, but on very different levels of performance so an organisation should evolve it's way of operation instead of learning. Only persons can learn. ;learning;2009-11-03 22:00:03;2009-11-04 09:35:39
Flygplansvikning med kvalitetskontroller;Tex var tredje skall vara grön, inga röda eller ... Då kan man köra en gång med efterkontroll och en där varje person kontrollerar sin inkö med avseende på ett kriteria. Jämför hur det kändes när tiden var slut. ;exercise,quality,done,flow;2009-11-03 22:02:17;2009-11-04 09:35:46
Reversing mocks;"If we have a lot of mocks which describes behaviour, is it possible to create a verifying frame work from these mocks by reversing the mock? We would like to verify the behaviour of the implementation of the mocked class by running some tests which verifies that it behaves as we had expected in our mocks.
Or it might be possible to substitute the mocks with the real implementation and having a mocking spy verify the behaviour of it according to the assumtions in the mock?";mocks,testing;2009-11-25 10:18:51;2009-11-25 10:24:31
Nash Equilibrium;Kallokain blogged about Nash equilibrium killing Agile initiatives. A Nash equilibrium is when one participant can't change his strategy, even though it would be a better strategy, unless one or more of the other participants change their strategy. This might also be valid in the introduction of Agile development within an organisation. A design organisation can not change strategy to agile unless project and product management does so to? Even test persons within the design organisation might incure this resistans. A programmer team could not change into agile unless testing persons also change into testing everything all the time. That's why Scrum insists on having testers as part of the team!;change,transition,process;2009-11-25 10:03:47;2009-11-25 10:15:02
Separera abstraktionsnivåer i projekt och funktionalitet;Abstraktionsnivåer i projekt och funktionalitet får inte brytas. De måste överbryggas genom att personer som är bekväma och kunniga på båda nivåerna och språkbruken finns i båda sfärerna.;estimation,breakdown,requirements,planning,project,product owner,competence;2009-11-25 09:24:55;2009-11-25 10:13:26
Refactoring is migration;Much refactoring is done by having multiple solutions available at once and looking at it as a migration of the application from one to the other. When you are done with the refactoring you are also done with the migration and one of the solutions can be removed.;refactoring,small steps,done;2009-11-03 22:11:33;2009-11-04 09:36:14
Inserting a printout can show coverage;In order to prepare for refactoring you often need to know if you have *any* tests that cover the code you are going to change. If you insert a printout in that code you can run the regression tests you have. If any fail then at least you have some tests that traverse that code.;refactoring,coverage,testing;2009-11-27 08:00:04;2009-12-01 08:59:03
Scrum ska synliggöra problem, inte lösa dom;"Om man kastrerar scrum så riskerar man att man inte ser problemen
Pressar man utvecklare kommer de att kompromissa kvalitet vilket då också bli osynligt. ";scrum,problems,compromise,visualize;2009-11-03 23:22:58;2009-11-25 10:32:33
Stories should convey need;"Better stories tell about the needs of the user/stakeholder. So a good user story should describe this need and why this need exists. Beginner story writers tend to put the technical requirement as the ""I want"" part but then have a hard time to figure out the ""so that/because"" part. This is a ""story smell"".

However, in early stages of agile team development (Taxiing, and Lift-off) this can be an acceptable loss.";smells,stories,flight of the team;2009-11-09 08:03:35;2009-11-12 09:48:24
